的	[白勹丶Ⓨ,rqyy,de_dí_dì]
一	[一一囗囗,ggll,yī_yí_yì]
是	[曰一龰Ⓤ,jghu,shì]
在	[𠂇丨土Ⓓ,dhfd,zài]
不	[一个Ⓘ,gii,bù_fǒu_bú]
了	[了乛㇚,bnh,le_liǎo]
有	[𠂇冃Ⓕ,def,yǒu_yòu]
和	[禾口Ⓖ,tkg,hé_hè_huó_huò_hú_hàn]
人	[人人人人,wwww,rén]
这	[文辶Ⓘ,ypi,zhè_zhèi]
中	[口丨Ⓚ,khk,zhōng_zhòng]
大	[大大大大,dddd,dà_dài_tài]
上	[上丨一一,hhgg,shàng_shǎng]
为	[丶力丶Ⓘ,ylyi,wéi_wèi]
个	[人丨Ⓙ,whj,gè_gě_gàn]
过	[寸辶Ⓘ,fpi,guò_guo_guō]
国	[囗王丶Ⓘ,lgyi,guó]
我	[㇒扌㇂丿,trnt,wǒ]
以	[㇙丶人Ⓨ,nywy,yǐ]
地	[土也Ⓝ,fbn,dì_de]
他	[亻也Ⓝ,wbn,tā]
要	[覀女Ⓕ,svf,yào_yāo]
来	[一米Ⓘ,goi,lái]
们	[亻门Ⓝ,wun,mén]
时	[日寸Ⓨ,jfy,shí]
到	[一厶土刂,gcfj,dào]
生	[㇒𤯓Ⓓ,tgd,shēng]
用	[用丿𠃌丨,etnh,yòng]
作	[亻𠂉丨二,wthf,zuò]
就	[亠小犬乚,yidn,jiù]
出	[凵山Ⓚ,bmk,chū]
于	[一十Ⓚ,gfk,yú]
会	[人二厶Ⓤ,wfcu,huì_kuài]
对	[又寸Ⓨ,cfy,duì]
分	[八刀Ⓑ,wvb,fēn_fèn]
成	[厂𠃌㇂丿,dnnt,chéng]
年	[𠂉丨十Ⓚ,rhfk,nián]
可	[丁口Ⓓ,skd,kě_kè]
同	[冂一口Ⓓ,mgkd,tóng_tòng]
主	[丶王Ⓓ,ygd,zhǔ]
也	[也𠃌丨乚,bnhn,yě]
发	[𠃊丿又丶,ntcy,fā_fà]
工	[工工工工,aaaa,gōng]
说	[讠丷口儿,yukq,shuō_shuì_yuè]
子	[子子子子,bbbb,zǐ_zi]
下	[一卜Ⓘ,ghi,xià]
能	[厶⺝匕匕,cexx,néng_nài]
动	[二厶力Ⓝ,fcln,dòng]
行	[彳二㇚Ⓗ,tfhh,háng_xíng_héng_hàng_xìng]
产	[立丿Ⓔ,ute,chǎn]
而	[丆冂〢Ⓙ,dmjj,ér]
多	[夕夕Ⓤ,qqu,duō]
后	[斤一口Ⓓ,rgkd,hòu]
方	[方丶一𠃌,yygn,fāng]
面	[丆冂〢三,dmjd,miàn]
种	[禾口丨Ⓗ,tkhh,zhǒng_zhòng_chóng]
学	[⺍冖子Ⓕ,ipbf,xué]
著	[艹土丿曰,aftj,zhù_zhuó_zhe_zháo]
着	[丷龵目Ⓕ,udhf,zhe_zhuó_zháo_zhāo]
得	[彳曰一寸,tjgf,dé_děi_de]
定	[宀一龰Ⓤ,pghu,dìng]
法	[氵土厶Ⓨ,ifcy,fǎ_fà]
民	[尸弋Ⓥ,nav,mín]
所	[斤コ斤Ⓗ,rnrh,suǒ]
经	[纟ス工Ⓖ,xcag,jīng]
十	[十一丨,fgh,shí]
三	[三一一一,dggg,sān]
之	[之之之之,pppp,zhī]
进	[二〢辶Ⓚ,fjpk,jìn]
家	[宀豕Ⓤ,peu,jiā_jia_jie]
等	[⺮土寸Ⓤ,tffu,děng]
部	[立口阝Ⓗ,ukbh,bù]
里	[曰土Ⓓ,jfd,lǐ]
都	[土丿日阝,ftjb,dōu_dū]
自	[㇒目Ⓓ,thd,zì]
二	[二一一,fgg,èr]
如	[女口Ⓖ,vkg,rú]
理	[王曰土Ⓖ,gjfg,lǐ]
起	[土龰己Ⓥ,fhnv,qǐ]
力	[力丿𠃌,ltn,lì]
长	[㇒七㇏Ⓘ,tayi,cháng_zhǎng]
化	[亻匕Ⓝ,wxn,huà_huā]
现	[王冂儿Ⓝ,gmqn,xiàn]
小	[小㇚㇒丶,ihty,xiǎo]
度	[广廿又Ⓘ,yaci,dù_duó]
实	[宀⺀大Ⓤ,pudu,shí]
点	[⺊口灬Ⓤ,hkou,diǎn]
高	[亠冂口Ⓕ,ymkf,gāo]
还	[一个辶Ⓘ,gipi,hái_huán_fú]
当	[⺌彐Ⓕ,ivf,dāng_dàng]
电	[曰乚Ⓥ,jnv,diàn]
加	[力口Ⓖ,lkg,jiā]
两	[一冂人人,gmww,liǎng]
从	[人人Ⓨ,wwy,cóng_zòng]
去	[土厶Ⓤ,fcu,qù]
物	[㇒扌勹Ⓡ,trqr,wù]
把	[扌巴Ⓝ,rcn,bǎ_bà]
本	[木一Ⓓ,sgd,běn]
好	[女子Ⓖ,vbg,hǎo_hào]
水	[水水水水,iiii,shuǐ]
